graph_index,graph,solved,solution_cost,QTM k
1,bio-nr-1-size-9,True,1,1
2,bio-nr-2-size-10,True,0,0
3,bio-nr-3-size-16,True,5,5
4,bio-nr-4-size-39,True,26,26
5,bio-nr-5-size-7,True,1,1
6,bio-nr-6-size-6,True,1,1
7,bio-nr-7-size-187,True,199,200
8,bio-nr-8-size-39,True,25,26
9,bio-nr-9-size-178,False,761,925
10,bio-nr-10-size-871,False,12341,18058
11,bio-nr-11-size-22,True,11,11
12,bio-nr-12-size-57,True,149,149
13,bio-nr-13-size-65,True,175,175
14,bio-nr-14-size-73,True,49,49
15,bio-nr-15-size-11,True,0,0
16,bio-nr-16-size-14,True,3,3
17,bio-nr-17-size-8,True,2,2
18,bio-nr-18-size-551,False,3556,4571
19,bio-nr-19-size-2362,False,8124,8947
20,bio-nr-20-size-26,True,22,22
21,bio-nr-21-size-8836,False,59061,85950
22,bio-nr-22-size-21,True,14,14
23,bio-nr-23-size-31,True,9,9
24,bio-nr-24-size-245,False,1052,1145
25,bio-nr-25-size-14,True,5,5
26,bio-nr-26-size-601,False,3618,4294
27,bio-nr-27-size-66,True,238,242
28,bio-nr-28-size-79,True,0,0
29,bio-nr-29-size-246,False,554,582
30,bio-nr-30-size-24,True,9,9
31,bio-nr-31-size-65,True,71,76
32,bio-nr-32-size-50,True,64,66
33,bio-nr-33-size-180,False,528,544
34,bio-nr-34-size-12,True,4,6
35,bio-nr-35-size-4,True,0,0
36,bio-nr-36-size-1345,False,21954,26725
37,bio-nr-37-size-491,False,1839,2294
38,bio-nr-38-size-154,True,326,333
39,bio-nr-39-size-12,True,2,2
40,bio-nr-40-size-18,True,2,2
41,bio-nr-41-size-12,True,0,0
42,bio-nr-42-size-67,True,0,0
43,bio-nr-43-size-345,False,1856,2048
44,bio-nr-44-size-83,True,71,71
45,bio-nr-45-size-30,True,7,7
46,bio-nr-46-size-63,True,81,81
47,bio-nr-47-size-2054,False,10660,11178
48,bio-nr-48-size-77,True,230,230
49,bio-nr-49-size-11,True,3,3
50,bio-nr-50-size-75,True,54,55
51,bio-nr-51-size-76,True,45,46
52,bio-nr-52-size-885,False,1895,2093
53,bio-nr-53-size-84,False,288,321
54,bio-nr-54-size-279,False,2289,3246
55,bio-nr-55-size-18,True,5,5
56,bio-nr-56-size-3387,False,41644,58552
57,bio-nr-57-size-129,False,338,346
58,bio-nr-58-size-25,True,21,22
59,bio-nr-59-size-254,False,2469,3259
60,bio-nr-60-size-46,True,0,0
61,bio-nr-61-size-16,True,4,4
62,bio-nr-62-size-267,False,1070,1210
63,bio-nr-63-size-64,True,104,104
64,bio-nr-64-size-58,True,46,46
65,bio-nr-65-size-133,True,135,136
66,bio-nr-66-size-16,True,0,0
67,bio-nr-67-size-1386,False,7396,9236
68,bio-nr-68-size-68,True,37,37
69,bio-nr-69-size-89,True,165,167
70,bio-nr-70-size-6,True,0,0
71,bio-nr-71-size-36,True,2,2
72,bio-nr-72-size-11,True,6,6
73,bio-nr-73-size-18,True,0,0
74,bio-nr-74-size-223,False,1795,1816
75,bio-nr-75-size-25,True,0,0
76,bio-nr-76-size-22,True,5,5
77,bio-nr-77-size-124,True,122,122
78,bio-nr-78-size-134,False,490,553
79,bio-nr-79-size-322,False,615,787
80,bio-nr-80-size-38,True,35,37
81,bio-nr-81-size-23,True,7,7
82,bio-nr-82-size-11,True,0,0
83,bio-nr-83-size-14,True,1,1
84,bio-nr-84-size-25,True,2,2
85,bio-nr-85-size-50,True,52,53
86,bio-nr-86-size-16,True,2,2
87,bio-nr-87-size-5,True,0,0
88,bio-nr-88-size-55,True,150,151
89,bio-nr-89-size-329,False,2788,4104
90,bio-nr-90-size-1190,False,8985,11450
91,bio-nr-91-size-1051,False,4004,4622
92,bio-nr-92-size-194,False,409,419
93,bio-nr-93-size-114,True,81,81
94,bio-nr-94-size-20,True,15,15
95,bio-nr-95-size-134,True,186,186
96,bio-nr-96-size-139,False,661,823
97,bio-nr-97-size-116,True,209,210
98,bio-nr-98-size-61,True,92,92
99,bio-nr-99-size-31,True,44,45
100,bio-nr-100-size-49,False,147,154
101,bio-nr-101-size-24,True,4,4
102,bio-nr-102-size-4,True,0,0
103,bio-nr-103-size-11,True,1,1
104,bio-nr-104-size-112,False,408,473
105,bio-nr-105-size-20,True,3,3
106,bio-nr-106-size-21,True,10,10
107,bio-nr-107-size-12,True,2,2
108,bio-nr-108-size-93,True,160,163
109,bio-nr-109-size-81,True,183,183
110,bio-nr-110-size-25,True,16,16
111,bio-nr-111-size-78,True,108,109
112,bio-nr-112-size-347,False,4544,6347
113,bio-nr-113-size-263,False,1504,2271
114,bio-nr-114-size-264,False,1680,2257
115,bio-nr-115-size-79,False,230,247
116,bio-nr-116-size-152,False,443,507
117,bio-nr-117-size-95,False,315,334
118,bio-nr-118-size-204,False,275,295
119,bio-nr-119-size-24,True,1,1
120,bio-nr-120-size-38,True,62,64
121,bio-nr-121-size-11,True,0,0
122,bio-nr-122-size-39,True,31,31
123,bio-nr-123-size-148,False,823,892
124,bio-nr-124-size-8,True,0,0
125,bio-nr-125-size-42,True,47,47
126,bio-nr-126-size-3,True,0,0
127,bio-nr-127-size-275,False,2819,3136
128,bio-nr-128-size-8,True,1,1
129,bio-nr-129-size-52,True,83,83
130,bio-nr-130-size-289,False,2079,2503
131,bio-nr-131-size-18,True,16,16
132,bio-nr-132-size-56,True,61,65
133,bio-nr-133-size-69,True,99,106
134,bio-nr-134-size-9,True,1,1
135,bio-nr-135-size-130,True,55,55
136,bio-nr-136-size-18,True,5,5
137,bio-nr-137-size-31,True,5,5
138,bio-nr-138-size-44,True,74,76
139,bio-nr-139-size-28,True,38,38
140,bio-nr-140-size-7,True,3,3
141,bio-nr-141-size-12,True,0,0
142,bio-nr-142-size-57,True,0,0
143,bio-nr-143-size-533,False,1376,1513
144,bio-nr-144-size-58,True,11,12
145,bio-nr-145-size-40,True,62,62
146,bio-nr-146-size-114,True,73,73
147,bio-nr-147-size-64,True,145,145
148,bio-nr-148-size-68,True,56,56
149,bio-nr-149-size-29,True,21,22
150,bio-nr-150-size-60,True,29,29
151,bio-nr-151-size-79,True,219,222
152,bio-nr-152-size-43,True,43,44
153,bio-nr-153-size-10,True,2,2
154,bio-nr-154-size-27,True,27,28
155,bio-nr-155-size-94,True,127,127
156,bio-nr-156-size-48,True,5,5
157,bio-nr-157-size-61,True,113,115
158,bio-nr-158-size-17,True,0,0
159,bio-nr-159-size-74,True,24,24
160,bio-nr-160-size-78,True,67,68
161,bio-nr-161-size-47,True,15,15
162,bio-nr-162-size-63,True,196,207
163,bio-nr-163-size-122,False,477,570
164,bio-nr-164-size-298,False,1490,1786
165,bio-nr-165-size-42,True,2,2
166,bio-nr-166-size-50,True,1,1
167,bio-nr-167-size-64,True,54,54
168,bio-nr-168-size-57,True,18,18
169,bio-nr-169-size-93,True,249,250
170,bio-nr-170-size-57,True,47,50
171,bio-nr-171-size-89,True,40,46
172,bio-nr-172-size-71,True,40,40
173,bio-nr-173-size-86,True,151,153
174,bio-nr-174-size-70,True,67,67
175,bio-nr-175-size-107,True,115,117
176,bio-nr-176-size-169,True,104,104
177,bio-nr-177-size-97,True,171,171
178,bio-nr-178-size-6,True,0,0
179,bio-nr-179-size-67,True,15,15
180,bio-nr-180-size-7,True,0,0
181,bio-nr-181-size-66,True,104,104
182,bio-nr-182-size-39,True,9,9
183,bio-nr-183-size-47,True,101,102
184,bio-nr-184-size-48,True,99,101
185,bio-nr-185-size-52,True,4,4
186,bio-nr-186-size-78,False,289,333
187,bio-nr-187-size-76,False,260,273
188,bio-nr-188-size-38,True,10,10
189,bio-nr-189-size-67,True,119,124
190,bio-nr-190-size-265,True,244,249
191,bio-nr-191-size-46,True,90,95
192,bio-nr-192-size-29,True,12,12
193,bio-nr-193-size-74,True,113,113
194,bio-nr-194-size-36,True,0,0
195,bio-nr-195-size-71,True,73,75
196,bio-nr-196-size-108,False,710,798
197,bio-nr-197-size-59,True,197,205
198,bio-nr-198-size-113,True,196,196
199,bio-nr-199-size-84,True,89,93
200,bio-nr-200-size-179,False,682,698
201,bio-nr-201-size-22,True,10,10
202,bio-nr-202-size-14,True,2,2
203,bio-nr-203-size-18,True,2,2
204,bio-nr-204-size-27,True,9,9
205,bio-nr-205-size-92,True,204,210
206,bio-nr-206-size-7,True,2,2
207,bio-nr-207-size-80,True,33,33
208,bio-nr-208-size-62,True,7,7
209,bio-nr-209-size-160,True,343,349
210,bio-nr-210-size-128,True,67,68
211,bio-nr-211-size-38,True,9,9
212,bio-nr-212-size-374,False,2743,3439
213,bio-nr-213-size-43,True,69,71
214,bio-nr-214-size-6,True,2,2
215,bio-nr-215-size-106,True,38,38
216,bio-nr-216-size-42,True,12,12
217,bio-nr-217-size-4,True,1,1
218,bio-nr-218-size-260,False,781,905
219,bio-nr-219-size-103,True,47,50
220,bio-nr-220-size-62,True,102,104
221,bio-nr-221-size-17,True,2,2
222,bio-nr-222-size-34,True,1,1
223,bio-nr-223-size-13,True,0,0
224,bio-nr-224-size-18,True,11,11
225,bio-nr-225-size-71,True,87,88
226,bio-nr-226-size-296,False,2869,3470
227,bio-nr-227-size-211,True,651,659
228,bio-nr-228-size-117,False,416,422
229,bio-nr-229-size-56,True,131,133
230,bio-nr-230-size-29,True,19,19
231,bio-nr-231-size-20,True,13,13
232,bio-nr-232-size-206,True,507,509
233,bio-nr-233-size-80,True,128,138
234,bio-nr-234-size-276,False,1035,1162
235,bio-nr-235-size-391,False,6257,8224
236,bio-nr-236-size-5,True,1,1
237,bio-nr-237-size-3,True,0,0
238,bio-nr-238-size-78,True,45,47
239,bio-nr-239-size-1292,False,10513,13560
240,bio-nr-240-size-252,False,2338,3172
241,bio-nr-241-size-252,False,2263,3094
242,bio-nr-242-size-48,True,9,9
243,bio-nr-243-size-41,True,59,59
244,bio-nr-244-size-10,True,2,2
245,bio-nr-245-size-7,True,0,0
246,bio-nr-246-size-26,True,22,22
247,bio-nr-247-size-92,True,23,23
248,bio-nr-248-size-77,True,100,105
249,bio-nr-249-size-4,True,0,0
250,bio-nr-250-size-7,True,1,1
251,bio-nr-251-size-46,True,93,96
252,bio-nr-252-size-449,False,1169,1677
253,bio-nr-253-size-25,True,10,10
254,bio-nr-254-size-4,True,0,0
255,bio-nr-255-size-11,True,3,3
256,bio-nr-256-size-119,False,487,552
257,bio-nr-257-size-4,True,0,0
258,bio-nr-258-size-5,True,0,0
259,bio-nr-259-size-5,True,0,0
260,bio-nr-260-size-55,True,153,158
261,bio-nr-261-size-28,True,25,25
262,bio-nr-262-size-20,True,0,0
263,bio-nr-263-size-186,True,597,598
264,bio-nr-264-size-11,True,0,0
265,bio-nr-265-size-11,True,2,2
266,bio-nr-266-size-101,False,364,414
267,bio-nr-267-size-105,False,348,363
268,bio-nr-268-size-104,True,160,162
269,bio-nr-269-size-86,True,4,4
270,bio-nr-270-size-62,True,8,8
271,bio-nr-271-size-71,True,12,12
272,bio-nr-272-size-70,True,39,39
273,bio-nr-273-size-53,True,34,34
274,bio-nr-274-size-41,True,82,84
275,bio-nr-275-size-231,False,698,729
276,bio-nr-276-size-11,True,3,3
277,bio-nr-277-size-222,False,1119,1180
278,bio-nr-278-size-63,False,249,272
279,bio-nr-279-size-209,False,2040,2419
280,bio-nr-280-size-41,True,1,1
281,bio-nr-281-size-41,True,21,21
282,bio-nr-282-size-45,True,97,98
283,bio-nr-283-size-91,True,387,391
284,bio-nr-284-size-14,True,2,2
285,bio-nr-285-size-44,True,16,16
286,bio-nr-286-size-35,True,31,31
287,bio-nr-287-size-8,True,1,1
288,bio-nr-288-size-123,True,240,244
289,bio-nr-289-size-55,True,66,66
290,bio-nr-290-size-3,True,0,0
291,bio-nr-291-size-297,True,324,332
292,bio-nr-292-size-59,True,123,129
293,bio-nr-293-size-27,True,1,1
294,bio-nr-294-size-62,True,1,1
295,bio-nr-295-size-16,True,10,10
296,bio-nr-296-size-25,True,15,15
297,bio-nr-297-size-18,True,12,12
298,bio-nr-298-size-68,True,21,21
299,bio-nr-299-size-85,True,161,164
300,bio-nr-300-size-15,True,3,3
301,bio-nr-301-size-11,True,2,2
302,bio-nr-302-size-15,True,5,5
303,bio-nr-303-size-56,True,148,148
304,bio-nr-304-size-11,True,1,1
305,bio-nr-305-size-23,True,7,7
306,bio-nr-306-size-41,True,53,53
307,bio-nr-307-size-6,True,2,2
308,bio-nr-308-size-18,True,7,7
309,bio-nr-309-size-926,False,16930,30041
310,bio-nr-310-size-5,True,0,0
311,bio-nr-311-size-10,True,2,2
312,bio-nr-312-size-102,False,417,455
313,bio-nr-313-size-20,True,16,17
314,bio-nr-314-size-9,True,3,3
315,bio-nr-315-size-20,True,12,13
316,bio-nr-316-size-30,True,32,32
317,bio-nr-317-size-95,True,129,132
318,bio-nr-318-size-74,True,25,25
319,bio-nr-319-size-43,True,59,59
320,bio-nr-320-size-29,True,25,25
321,bio-nr-321-size-320,False,776,836
322,bio-nr-322-size-24,True,8,8
323,bio-nr-323-size-295,False,907,1003
324,bio-nr-324-size-16,True,1,1
325,bio-nr-325-size-62,True,94,98
326,bio-nr-326-size-6,True,0,0
327,bio-nr-327-size-72,False,261,275
328,bio-nr-328-size-31,True,1,1
329,bio-nr-329-size-29,True,5,5
330,bio-nr-330-size-44,True,15,18
331,bio-nr-331-size-49,True,135,136
332,bio-nr-332-size-146,True,176,197
333,bio-nr-333-size-132,True,158,160
334,bio-nr-334-size-5,True,1,1
335,bio-nr-335-size-276,False,527,556
336,bio-nr-336-size-27,True,17,18
337,bio-nr-337-size-7,True,0,0
338,bio-nr-338-size-90,True,301,305
339,bio-nr-339-size-14,True,10,10
340,bio-nr-340-size-49,True,69,74
341,bio-nr-341-size-7,True,2,2
342,bio-nr-342-size-15,True,1,1
343,bio-nr-343-size-361,False,1776,2400
344,bio-nr-344-size-15,True,0,0
345,bio-nr-345-size-8,True,2,2
346,bio-nr-346-size-18,True,8,10
347,bio-nr-347-size-22,True,21,21
348,bio-nr-348-size-89,False,237,247
349,bio-nr-349-size-4,True,0,0
350,bio-nr-350-size-9,True,3,4
351,bio-nr-351-size-15,True,13,13
352,bio-nr-352-size-202,True,12,12
353,bio-nr-353-size-4,True,0,0
354,bio-nr-354-size-9,True,1,1
355,bio-nr-355-size-3,True,0,0
356,bio-nr-356-size-19,True,10,10
357,bio-nr-357-size-34,True,14,14
358,bio-nr-358-size-14,True,11,11
359,bio-nr-359-size-4,True,1,1
360,bio-nr-360-size-150,False,552,579
361,bio-nr-361-size-32,True,7,7
362,bio-nr-362-size-99,False,392,430
363,bio-nr-363-size-16,True,5,5
364,bio-nr-364-size-53,True,7,7
365,bio-nr-365-size-196,False,832,935
366,bio-nr-366-size-48,True,41,41
367,bio-nr-367-size-73,False,259,264
368,bio-nr-368-size-54,True,99,99
369,bio-nr-369-size-60,True,163,166
370,bio-nr-370-size-62,True,24,25
371,bio-nr-371-size-56,True,38,38
372,bio-nr-372-size-54,True,33,34
373,bio-nr-373-size-35,True,48,48
374,bio-nr-374-size-53,True,0,0
375,bio-nr-375-size-26,True,0,0
376,bio-nr-376-size-49,True,75,76
377,bio-nr-377-size-57,True,142,142
378,bio-nr-378-size-45,True,52,52
379,bio-nr-379-size-46,True,29,30
380,bio-nr-380-size-10,True,3,3
381,bio-nr-381-size-132,True,223,223
382,bio-nr-382-size-28,True,20,20
383,bio-nr-383-size-60,True,83,84
384,bio-nr-384-size-96,True,36,36
385,bio-nr-385-size-217,True,1356,1604
386,bio-nr-386-size-18,True,0,0
387,bio-nr-387-size-22,True,2,2
388,bio-nr-388-size-70,True,36,36
389,bio-nr-389-size-29,True,0,0
390,bio-nr-390-size-47,True,11,11
391,bio-nr-391-size-12,True,1,1
392,bio-nr-392-size-33,True,6,6
393,bio-nr-393-size-57,True,122,125
394,bio-nr-394-size-59,True,63,63
395,bio-nr-395-size-61,True,5,5
396,bio-nr-396-size-231,False,764,838
397,bio-nr-397-size-275,True,602,603
398,bio-nr-398-size-17,True,2,2
399,bio-nr-399-size-51,True,0,0
400,bio-nr-400-size-51,True,0,0
401,bio-nr-401-size-14,True,0,0
402,bio-nr-402-size-70,True,43,43
403,bio-nr-403-size-215,False,1653,1782
404,bio-nr-404-size-218,False,405,416
405,bio-nr-405-size-10,True,0,0
406,bio-nr-406-size-20,True,12,12
407,bio-nr-407-size-44,True,3,3
408,bio-nr-408-size-7,True,0,0
409,bio-nr-409-size-31,True,9,9
410,bio-nr-410-size-116,True,129,133
411,bio-nr-411-size-245,False,941,1144
412,bio-nr-412-size-28,True,1,1
413,bio-nr-413-size-127,True,555,560
414,bio-nr-414-size-40,True,16,16
415,bio-nr-415-size-205,False,671,751
416,bio-nr-416-size-30,True,32,32
417,bio-nr-417-size-66,True,208,208
418,bio-nr-418-size-77,True,18,18
419,bio-nr-419-size-48,True,14,14
420,bio-nr-420-size-69,True,51,51
421,bio-nr-421-size-111,False,398,453
422,bio-nr-422-size-48,True,121,122
423,bio-nr-423-size-6,True,1,1
424,bio-nr-424-size-7,True,0,0
425,bio-nr-425-size-64,True,38,50
426,bio-nr-426-size-4,True,0,0
427,bio-nr-427-size-42,True,0,0
428,bio-nr-428-size-65,True,27,27
429,bio-nr-429-size-15,True,7,7
430,bio-nr-430-size-13,True,1,1
431,bio-nr-431-size-14,True,13,14
432,bio-nr-432-size-14,True,0,0
433,bio-nr-433-size-4,True,0,0
434,bio-nr-434-size-13,True,0,0
435,bio-nr-435-size-10,True,2,2
436,bio-nr-436-size-121,False,329,359
437,bio-nr-437-size-8,True,1,1
438,bio-nr-438-size-72,True,144,146
439,bio-nr-439-size-85,True,252,252
440,bio-nr-440-size-293,False,1061,1147
441,bio-nr-441-size-31,True,0,0
442,bio-nr-442-size-20,True,3,3
443,bio-nr-443-size-47,True,48,48
444,bio-nr-444-size-164,False,1022,1065
445,bio-nr-445-size-40,True,1,1
446,bio-nr-446-size-216,False,1240,1248
447,bio-nr-447-size-21,True,0,0
448,bio-nr-448-size-36,True,21,23
449,bio-nr-449-size-47,True,71,72
450,bio-nr-450-size-40,True,50,52
451,bio-nr-451-size-13,True,5,5
452,bio-nr-452-size-7,True,0,0
453,bio-nr-453-size-20,True,0,0
454,bio-nr-454-size-51,True,15,15
455,bio-nr-455-size-24,True,8,8
456,bio-nr-456-size-9,True,0,0
457,bio-nr-457-size-11,True,0,0
458,bio-nr-458-size-24,True,21,21
459,bio-nr-459-size-171,True,308,313
460,bio-nr-460-size-14,True,2,2
461,bio-nr-461-size-45,True,56,56
462,bio-nr-462-size-16,True,0,0
463,bio-nr-463-size-13,True,4,4
464,bio-nr-464-size-19,True,0,0
465,bio-nr-465-size-12,True,0,0
466,bio-nr-466-size-30,True,2,2
467,bio-nr-467-size-41,True,48,48
468,bio-nr-468-size-37,True,41,41
469,bio-nr-469-size-54,True,85,85
470,bio-nr-470-size-137,True,433,436
471,bio-nr-471-size-184,False,254,276
472,bio-nr-472-size-35,True,21,21
473,bio-nr-473-size-73,True,215,216
474,bio-nr-474-size-92,True,119,121
475,bio-nr-475-size-14,True,0,0
476,bio-nr-476-size-22,True,2,2
477,bio-nr-477-size-8,True,1,1
478,bio-nr-478-size-47,True,0,0
479,bio-nr-479-size-30,True,26,27
480,bio-nr-480-size-139,False,346,375
481,bio-nr-481-size-118,True,654,660
482,bio-nr-482-size-73,True,29,29
483,bio-nr-483-size-50,True,23,23
484,bio-nr-484-size-19,True,0,0
485,bio-nr-485-size-5,True,1,1
486,bio-nr-486-size-51,True,20,20
487,bio-nr-487-size-113,False,221,243
488,bio-nr-488-size-24,True,18,18
489,bio-nr-489-size-211,False,1945,2593
490,bio-nr-490-size-22,True,0,0
491,bio-nr-491-size-71,True,0,0
492,bio-nr-492-size-61,True,31,31
493,bio-nr-493-size-263,False,1328,1712
494,bio-nr-494-size-18,True,0,0
495,bio-nr-495-size-62,True,179,179
496,bio-nr-496-size-21,True,10,10
497,bio-nr-497-size-50,True,107,108
498,bio-nr-498-size-54,True,14,14
499,bio-nr-499-size-313,True,433,442
500,bio-nr-500-size-56,True,15,15
501,bio-nr-501-size-129,False,564,637
