graph_index,multiplier,permutation,forbidden_subgraphs,solved,solution_cost,edits,path,time_exact
1,100,0,C4P4,True,124,"[[7, 8]]",data/bio/bio-nr-1-size-9.graph,0.000826535
2,100,0,C4P4,True,0,[],data/bio/bio-nr-2-size-10.graph,0.000274669
3,100,0,C4P4,True,426,"[[0, 3], [1, 8], [3, 8], [4, 11], [6, 8], [7, 8]]",data/bio/bio-nr-3-size-16.graph,0.001734408
4,100,0,C4P4,True,10780,"[[0, 8], [0, 17], [0, 34], [1, 26], [4, 19], [4, 23], [5, 7], [5, 14], [5, 16], [7, 11], [8, 25], [8, 28], [8, 30], [8, 31], [11, 14], [14, 28], [16, 32], [17, 25], [17, 28], [17, 30], [17, 31], [18, 26], [25, 34], [26, 33], [28, 34], [30, 34], [31, 34]]",data/bio/bio-nr-4-size-39.graph,0.724638878
5,100,0,C4P4,True,447,"[[0, 3]]",data/bio/bio-nr-5-size-7.graph,0.000734934
6,100,0,C4P4,True,89,"[[0, 1]]",data/bio/bio-nr-6-size-6.graph,0.000737961
7,100,0,C4P4,False,-1,,data/bio/bio-nr-7-size-187.graph,
8,100,0,C4P4,True,2874,"[[0, 29], [0, 37], [1, 3], [1, 6], [2, 22], [2, 25], [2, 37], [3, 29], [3, 37], [5, 9], [5, 13], [6, 13], [8, 9], [10, 29], [11, 24], [11, 27], [11, 37], [13, 17], [21, 35], [22, 29], [24, 29], [24, 36], [24, 37], [29, 35], [31, 33], [34, 37], [35, 36]]",data/bio/bio-nr-8-size-39.graph,0.309251233
9,100,0,C4P4,False,-1,,data/bio/bio-nr-9-size-178.graph,
10,100,0,C4P4,False,-1,,data/bio/bio-nr-10-size-871.graph,
11,100,0,C4P4,True,1253,"[[0, 4], [0, 8], [0, 16], [4, 11], [4, 12], [4, 21], [6, 16], [8, 12], [8, 21], [9, 16], [9, 21], [12, 16], [16, 21]]",data/bio/bio-nr-11-size-22.graph,0.008096604
12,100,0,C4P4,True,30284,"[[0, 9], [0, 22], [1, 7], [1, 17], [1, 48], [2, 3], [2, 7], [2, 8], [2, 9], [2, 13], [2, 17], [2, 48], [2, 54], [2, 55], [3, 14], [3, 20], [4, 34], [4, 38], [4, 42], [4, 46], [4, 47], [5, 6], [5, 18], [5, 19], [5, 35], [6, 12], [6, 15], [6, 38], [6, 42], [6, 43], [7, 11], [7, 16], [7, 20], [7, 26], [7, 27], [7, 39], [7, 49], [8, 15], [8, 22], [8, 23], [8, 30], [8, 37], [8, 40], [8, 41], [8, 50], [8, 51], [8, 52], [8, 54], [9, 11], [9, 12], [9, 15], [9, 20], [9, 22], [9, 40], [10, 34], [10, 38], [10, 42], [10, 46], [10, 47], [11, 22], [11, 48], [11, 54], [11, 55], [12, 20], [12, 22], [13, 16], [13, 25], [13, 33], [13, 34], [13, 46], [13, 52], [14, 22], [15, 18], [15, 19], [15, 35], [15, 55], [16, 17], [16, 48], [17, 20], [17, 25], [17, 33], [17, 37], [17, 39], [17, 40], [17, 52], [17, 53], [18, 23], [18, 25], [18, 36], [18, 38], [18, 44], [18, 50], [18, 52], [18, 53], [19, 26], [19, 27], [19, 34], [19, 42], [19, 46], [19, 49], [20, 24], [20, 43], [20, 54], [21, 34], [22, 36], [22, 42], [22, 43], [22, 45], [22, 54], [22, 55], [23, 55], [24, 30], [24, 32], [24, 41], [24, 48], [24, 50], [24, 51], [25, 30], [25, 32], [25, 35], [25, 41], [25, 47], [25, 48], [25, 51], [26, 35], [27, 35], [28, 34], [28, 38], [28, 42], [28, 46], [28, 47], [29, 33], [30, 38], [30, 48], [30, 55], [31, 36], [32, 38], [32, 48], [33, 48], [34, 35], [35, 37], [35, 39], [35, 46], [35, 47], [35, 49], [35, 50], [36, 47], [36, 54], [37, 48], [37, 55], [38, 41], [38, 51], [39, 48], [40, 55], [41, 48], [41, 55], [42, 47], [45, 47], [47, 48], [48, 51], [50, 55], [51, 55], [52, 54], [52, 55], [54, 55]]",data/bio/bio-nr-12-size-57.graph,46.106484507
13,100,0,C4P4,False,-1,,data/bio/bio-nr-13-size-65.graph,
14,100,0,C4P4,True,12590,"[[0, 17], [3, 17], [3, 23], [4, 17], [4, 38], [7, 17], [8, 15], [8, 34], [10, 38], [14, 15], [14, 34], [14, 36], [15, 42], [15, 48], [15, 50], [15, 60], [15, 61], [15, 62], [15, 66], [15, 72], [17, 18], [17, 24], [17, 26], [17, 33], [17, 49], [17, 51], [17, 56], [17, 57], [17, 58], [17, 64], [23, 32], [23, 36], [23, 45], [23, 46], [23, 57], [23, 58], [23, 59], [25, 38], [27, 34], [32, 38], [33, 38], [34, 42], [34, 48], [34, 50], [34, 60], [34, 62], [34, 66], [34, 72], [36, 37], [36, 42], [36, 45], [36, 50], [36, 52], [36, 55], [36, 59], [36, 60], [36, 68], [36, 71], [38, 45], [38, 49], [38, 51], [38, 57], [38, 59], [38, 60], [38, 63], [38, 64]]",data/bio/bio-nr-14-size-73.graph,61.488755238
15,100,0,C4P4,True,0,[],data/bio/bio-nr-15-size-11.graph,0.000306006
16,100,0,C4P4,True,6,"[[0, 12], [5, 12], [11, 12]]",data/bio/bio-nr-16-size-14.graph,0.001574017
17,100,0,C4P4,True,563,"[[0, 4], [4, 6]]",data/bio/bio-nr-17-size-8.graph,0.000821497
18,100,0,C4P4,False,-1,,data/bio/bio-nr-18-size-551.graph,
20,100,0,C4P4,True,6171,"[[0, 15], [0, 17], [1, 10], [2, 15], [3, 7], [3, 12], [4, 12], [6, 13], [6, 24], [7, 10], [8, 18], [9, 15], [9, 18], [9, 21], [9, 25], [11, 15], [12, 17], [13, 17], [15, 17], [17, 18], [18, 23], [19, 20], [20, 23]]",data/bio/bio-nr-20-size-26.graph,0.039157398
22,100,0,C4P4,True,2729,"[[0, 3], [0, 4], [0, 9], [0, 18], [1, 15], [1, 18], [2, 15], [3, 15], [5, 9], [5, 14], [6, 13], [6, 14], [9, 18], [13, 15]]",data/bio/bio-nr-22-size-21.graph,0.010959201
23,100,0,C4P4,True,1960,"[[0, 23], [2, 8], [8, 16], [8, 17], [8, 24], [8, 30], [10, 14], [15, 18], [23, 26], [27, 28]]",data/bio/bio-nr-23-size-31.graph,0.00266781
24,100,0,C4P4,False,-1,,data/bio/bio-nr-24-size-245.graph,
25,100,0,C4P4,True,1163,"[[1, 8], [3, 4], [4, 7], [4, 9], [4, 13], [5, 8], [8, 13]]",data/bio/bio-nr-25-size-14.graph,0.001972149
26,100,0,C4P4,False,-1,,data/bio/bio-nr-26-size-601.graph,
27,100,0,C4P4,False,-1,,data/bio/bio-nr-27-size-66.graph,
28,100,0,C4P4,True,0,[],data/bio/bio-nr-28-size-79.graph,0.003748582
29,100,0,C4P4,False,-1,,data/bio/bio-nr-29-size-246.graph,
30,100,0,C4P4,True,1689,"[[2, 14], [2, 23], [5, 16], [9, 14], [9, 23], [12, 16], [14, 16], [16, 22], [16, 23]]",data/bio/bio-nr-30-size-24.graph,0.004259608
