graph_index,graph,n,initialization,maxIterations,sortPaths,randomness,plateauSize,insertEditCost,removeEditCost,edits,editsWeight,usedIterations,actualPlateau,time
1,bio-nr-1-size-9,9,editing,5,True,True,5,1,1,1,124,2,0,41.62003798410296
2,bio-nr-2-size-10,10,editing,0,True,True,5,1,1,0,0,0,0,34.76448904257268
3,bio-nr-3-size-16,16,random_insert,0,True,True,100,1,1,5,924,0,0,0.19846996292471888
4,bio-nr-4-size-39,39,editing,5,True,True,5,1,1,0,10912,5,0,44.2133650649339
5,bio-nr-5-size-7,7,editing,5,True,True,5,1,1,0,447,3,1,46.86181189026685
6,bio-nr-6-size-6,6,editing,0,True,True,5,1,1,1,189,0,0,46.471480047330246
7,bio-nr-7-size-187,187,editing,0,True,True,5,1,1,180,38479,5,0,39.522648905403905
8,bio-nr-8-size-39,39,editing,5,True,True,50,1,1,24,2914,3,0,20.99125599488616
11,bio-nr-11-size-22,22,editing,5,True,True,50,1,1,6,1253,3,0,25.538471061736345
13,bio-nr-13-size-65,65,editing,5,True,True,50,1,1,101,60248,4,0,15.423621982336044
14,bio-nr-14-size-73,73,editing,5,True,True,50,1,1,40,13371,5,0,41.2137289531529
15,bio-nr-15-size-11,11,editing,0,True,True,5,1,1,0,0,0,0,14.926948002539575
16,bio-nr-16-size-14,14,random_insert,5,True,True,50,1,1,2,6,3,0,0.1940990332514048
17,bio-nr-17-size-8,8,editing,0,True,True,5,1,1,2,563,0,0,59.921249980106964
20,bio-nr-20-size-26,26,random_insert,5,True,True,50,1,1,22,7158,3,0,0.29524508863687515
22,bio-nr-22-size-21,21,editing,5,True,True,50,1,1,11,2729,4,0,13.763671973720193
23,bio-nr-23-size-31,31,editing,5,True,True,50,1,1,9,1960,3,0,4.657331039197743
24,bio-nr-24-size-245,245,random_insert,5,True,True,50,1,1,1042,771175,10,2,42.07468696404249
25,bio-nr-25-size-14,14,trivial,100,True,True,50,1,1,4,1163,4,0,22.64132408890873
28,bio-nr-28-size-79,79,editing,0,True,True,5,1,1,0,0,0,0,41.21840093284845
29,bio-nr-29-size-246,246,editing,5,True,True,5,1,1,501,166266,5,0,42.229640064761035
30,bio-nr-30-size-24,24,editing,0,True,True,5,1,1,9,1689,0,0,52.732054027728736
31,bio-nr-31-size-65,65,editing,5,True,True,50,1,1,59,20567,4,0,25.537962093949318
32,bio-nr-32-size-50,50,editing,100,True,True,50,1,1,60,24291,7,1,13.916718075051904
34,bio-nr-34-size-12,12,editing,0,True,True,5,1,1,6,1794,0,0,17.26703706663102
35,bio-nr-35-size-4,4,editing,0,True,True,5,1,1,0,0,0,0,50.00661895610393
38,bio-nr-38-size-154,154,editing,5,True,True,100,1,1,287,56102,4,0,25.87591903284192
39,bio-nr-39-size-12,12,editing,0,True,True,5,1,1,2,244,0,0,11.556939920410516
40,bio-nr-40-size-18,18,editing,5,True,True,5,1,1,2,43,2,0,11.37752493377775
41,bio-nr-41-size-12,12,editing,0,True,True,5,1,1,0,0,0,0,41.921306983567774
42,bio-nr-42-size-67,67,editing,0,True,True,5,1,1,0,0,0,0,28.904850943945352
