graph_index,graph,n,initialization,editsWeight,usedIterations,actualPlateau,time,solved,solution_cost,time_exact,ratio
1,bio-nr-1-size-9,9,trivial,124,3,0,40.97842494957149,True,124,0.000826535,1.0
2,bio-nr-2-size-10,10,trivial,0,2,0,39.536342956125736,True,0,0.000274669,1.0
3,bio-nr-3-size-16,16,trivial,426,4,0,0.2969771157950163,True,426,0.0017344079999999998,1.0
4,bio-nr-4-size-39,39,trivial,10780,3,0,0.482671894133091,True,10780,0.7246388779999999,1.0
5,bio-nr-5-size-7,7,trivial,447,2,0,0.14327513054013252,True,447,0.0007349339999999999,1.0
6,bio-nr-6-size-6,6,trivial,89,2,0,0.13162614777684212,True,89,0.0007379610000000001,1.0
7,bio-nr-7-size-187,187,editing,38206,5,0,41.49902798235416,False,-1,-1.0,-1.0
8,bio-nr-8-size-39,39,random_insert,2874,3,0,0.4225790034979582,True,2874,0.309251233,1.0
9,bio-nr-9-size-178,178,random_insert,396885,5,2,29.951771954074502,False,-1,-1.0,-1.0
10,bio-nr-10-size-871,871,random_insert,6590965,7,0,138.25689302757382,False,-1,-1.0,-1.0
11,bio-nr-11-size-22,22,trivial,1253,3,0,0.25799707509577274,True,1253,0.008096604,1.0
12,bio-nr-12-size-57,57,trivial,30284,5,0,1.5426408499479294,True,30284,46.106484507,1.0
13,bio-nr-13-size-65,65,trivial,60248,5,0,1.87051109969616,False,-1,-1.0,-1.0
14,bio-nr-14-size-73,73,editing,12590,3,0,13.458024011924865,True,12590,61.488755238,1.0
15,bio-nr-15-size-11,11,trivial,0,2,0,0.1715139951556921,True,0,0.000306006,1.0
16,bio-nr-16-size-14,14,trivial,6,2,0,57.167402002960436,True,6,0.001574017,1.0
17,bio-nr-17-size-8,8,trivial,563,3,0,0.16385503113269806,True,563,0.0008214969999999999,1.0
18,bio-nr-18-size-551,551,random_insert,1527978,100,7,2604.122401913628,False,-1,-1.0,-1.0
19,bio-nr-19-size-2362,2362,random_insert,2646748,100,8,26922.090600943196,-1,-1,-1.0,-1.0
20,bio-nr-20-size-26,26,trivial,6171,3,0,0.31958497129380703,True,6171,0.039157397999999996,1.0
21,bio-nr-21-size-8836,8836,random_insert,54011000,100,2,242419.53579802066,-1,-1,-1.0,-1.0
22,bio-nr-22-size-21,21,random_insert,2729,0,0,43.16529305651784,True,2729,0.010959201000000002,1.0
23,bio-nr-23-size-31,31,trivial,1960,5,0,19.555961946025487,True,1960,0.00266781,1.0
24,bio-nr-24-size-245,245,trivial,446566,5,0,53.995497059077024,False,-1,-1.0,-1.0
25,bio-nr-25-size-14,14,trivial,1163,3,0,0.18851296044886112,True,1163,0.001972149,1.0
26,bio-nr-26-size-601,601,trivial,1367399,7,0,89.48977501131594,False,-1,-1.0,-1.0
27,bio-nr-27-size-66,66,random_insert,51848,3,0,13.542974833399056,False,-1,-1.0,-1.0
28,bio-nr-28-size-79,79,trivial,0,2,0,1.3931191060692072,True,0,0.0037485820000000003,1.0
29,bio-nr-29-size-246,246,trivial,147971,7,0,22.149563999846574,False,-1,-1.0,-1.0
30,bio-nr-30-size-24,24,trivial,1689,4,0,0.3404458984732628,True,1689,0.004259608,1.0
31,bio-nr-31-size-65,65,trivial,20077,5,0,2.190781058743596,True,20077,69.03679052300001,1.0
32,bio-nr-32-size-50,50,trivial,21184,5,0,0.7301890291273594,True,21184,4.243677794,1.0
33,bio-nr-33-size-180,180,asc_degree_insert,280855,5,0,19.539323868229985,False,-1,-1.0,-1.0
34,bio-nr-34-size-12,12,trivial,1240,3,0,0.20787701942026607,True,1240,0.001138215,1.0
35,bio-nr-35-size-4,4,trivial,0,2,0,0.12811506167054176,True,0,0.000211543,1.0
36,bio-nr-36-size-1345,1345,random_insert,19190754,100,3,19216.727343853563,-1,-1,-1.0,-1.0
37,bio-nr-37-size-491,491,random_insert,502021,5,4,1379.862852860242,False,-1,-1.0,-1.0
38,bio-nr-38-size-154,154,editing,56096,4,0,43.077158974483616,False,-1,-1.0,-1.0
39,bio-nr-39-size-12,12,trivial,244,4,0,0.2211630344390869,True,244,0.0008513269999999999,1.0
40,bio-nr-40-size-18,18,trivial,43,3,0,0.2750679850578308,True,43,0.0015902579999999998,1.0
41,bio-nr-41-size-12,12,trivial,0,3,0,0.20821904763579369,True,0,0.000279057,1.0
42,bio-nr-42-size-67,67,trivial,0,3,0,1.5322158578783274,True,0,0.002744033,1.0
43,bio-nr-43-size-345,345,trivial,795376,5,0,70.23705099709332,False,-1,-1.0,-1.0
